Class Name,Season,Section,Class Number,Meeting Time,Location,Instructor,Insutructor Url,Syllabus Url
"CSC 697
",Spring 2012-2013,Section:902,Class number:35072,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20133&ClassNbr=35072&fid=297813
"CSC 697
",Spring 2012-2013,Section:903,Class number:35073,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20133&ClassNbr=35073&fid=297813
"CSC 697
",Spring 2012-2013,Section:904,Class number:35074,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20133&ClassNbr=35074&fid=297813
"CSC 697
",Dec Intersession 2012-2013,Section:801,Class number:10032,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20137&ClassNbr=10032&fid=297813
"CSC 697
",Dec Intersession 2012-2013,Section:802,Class number:10033,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20137&ClassNbr=10033&fid=297813
"CSC 697
",Dec Intersession 2012-2013,Section:803,Class number:10034,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20137&ClassNbr=10034&fid=297813
"CSC 697
",Dec Intersession 2012-2013,Section:804,Class number:10035,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20137&ClassNbr=10035&fid=297813
"CSC 697
",Winter 2012-2013,Section:801,Class number:23831,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=23831&fid=297813
"CSC 697
",Winter 2012-2013,Section:802,Class number:23832,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=23832&fid=297813
"CSC 697
",Winter 2012-2013,Section:803,Class number:23833,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=23833&fid=297813
"CSC 697
",Winter 2012-2013,Section:804,Class number:23834,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=23834&fid=297813
"CSC 697
",Fall 2012-2013,Section:701,Class number:16229,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20131&ClassNbr=16229&fid=298755
"CSC 697
",Fall 2012-2013,Section:702,Class number:16230,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20131&ClassNbr=16230&fid=298755
"CSC 697
",Fall 2012-2013,Section:703,Class number:16231,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20131&ClassNbr=16231&fid=298755
"CSC 697
",Fall 2012-2013,Section:704,Class number:16232,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20131&ClassNbr=16232&fid=298755
"CSC 697
",Summer II 2011-2012,Section:501,Class number:42123,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20125&ClassNbr=42123&fid=298755
"CSC 697
",Summer II 2011-2012,Section:502,Class number:42124,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20125&ClassNbr=42124&fid=298755
"CSC 697
",Summer II 2011-2012,Section:503,Class number:42125,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20125&ClassNbr=42125&fid=298755
"CSC 697
",Summer II 2011-2012,Section:504,Class number:42126,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20125&ClassNbr=42126&fid=298755
"CSC 697
",Summer I 2011-2012,Section:201,Class number:42119,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20124&ClassNbr=42119&fid=297813
"CSC 697
",Summer I 2011-2012,Section:202,Class number:42120,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20124&ClassNbr=42120&fid=297813
"CSC 697
",Summer I 2011-2012,Section:203,Class number:42121,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20124&ClassNbr=42121&fid=297813
